,Sr. No.,State,Work,Work ID,IDA,MP Name,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),expenditure_amount,threshold_proximity_pct,vendor_payout_velocity,vendor_cumulative_30d,cumulative_vendor_spend_vs_threshold_pct,mp_total_allocation,amount_to_mp_budget_pct,year_month,ida_monthly_txns,risk_output,risk_score
58654,58655,Telangana,Providing drains and gutters for public drainage,WS/MP761/2024-2025/144933,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,2024-10-04,GUTHI SRINIVAS,Payment Success,495000,495000.0,81.87,3,1390000.0,0.0,281396355.11,0.17590846185854137,2024-10,17,"{'Work ID': 'WS/MP761/2024-2025/144933', 'risk_score': 43.4, 'risk_level': 'MEDIUM_RISK', 'is_anomaly': False, 'metrics': {'amount': 495000.0, 'threshold_proximity_pct': 81.87, 'vendor_30d_frequency': 3, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.18, 'ida_monthly_txns': 17}, 'raw_anomaly_score': 0.0846, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 81.87, 'contribution_to_risk': 0.1424}, {'feature': 'ida_monthly_txns', 'value': 17, 'contribution_to_risk': -0.0156}, {'feature': 'vendor_payout_velocity', 'value': 3, 'contribution_to_risk': -0.009}]}",43.4
58655,58656,Telangana,Providing drains and gutters for public drainage,WS/MP761/2024-2025/144916,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,2024-10-04,GUTHI SRINIVAS,Payment Success,495000,495000.0,81.87,3,1390000.0,0.0,281396355.11,0.17590846185854137,2024-10,17,"{'Work ID': 'WS/MP761/2024-2025/144916', 'risk_score': 43.4, 'risk_level': 'MEDIUM_RISK', 'is_anomaly': False, 'metrics': {'amount': 495000.0, 'threshold_proximity_pct': 81.87, 'vendor_30d_frequency': 3, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.18, 'ida_monthly_txns': 17}, 'raw_anomaly_score': 0.0846, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 81.87, 'contribution_to_risk': 0.1423}, {'feature': 'ida_monthly_txns', 'value': 17, 'contribution_to_risk': -0.0156}, {'feature': 'vendor_payout_velocity', 'value': 3, 'contribution_to_risk': -0.009}]}",43.4
58656,58657,Telangana,Construction of boundary walls of existing public and community buildings,WS/MP761/2024-2025/144975,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,2024-10-04,GUTHI SRINIVAS,Payment Success,400000,400000.0,1.83,3,1390000.0,0.0,281396355.11,0.14214825200690212,2024-10,17,"{'Work ID': 'WS/MP761/2024-2025/144975', 'risk_score': 5.4, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 400000.0, 'threshold_proximity_pct': 1.83, 'vendor_30d_frequency': 3, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.14, 'ida_monthly_txns': 17}, 'raw_anomaly_score': 0.2397, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 17, 'contribution_to_risk': -0.0161}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.0117}, {'feature': 'vendor_payout_velocity', 'value': 3, 'contribution_to_risk': -0.0112}]}",5.4
58714,58715,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/138713,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,624000,624000.0,0.0,8,4056000.0,2.29,147000000.0,0.42448979591836733,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138713', 'risk_score': 18.1, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 624000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.42, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.1881, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0182}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.42448979591836733, 'contribution_to_risk': 0.0153}, {'feature': 'expenditure_amount', 'value': 624000.0, 'contribution_to_risk': 0.0132}]}",18.1
58716,58717,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/138720,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,401250,401250.0,1.93,8,4056000.0,2.29,147000000.0,0.2729591836734694,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138720', 'risk_score': 12.0, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 401250.0, 'threshold_proximity_pct': 1.93, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.27, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.213, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0175}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 2.29, 'contribution_to_risk': 0.0083}, {'feature': 'vendor_payout_velocity', 'value': 8, 'contribution_to_risk': -0.0066}]}",12.0
58717,58718,Jharkhand,Construction of culverts and bridges,WS/MP18074/2024-2025/138719,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,594750,594750.0,0.0,8,4056000.0,2.29,147000000.0,0.40459183673469384,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138719', 'risk_score': 17.1, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 594750.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.4, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.1919, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0177}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.40459183673469384, 'contribution_to_risk': 0.0141}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.0103}]}",17.1
58713,58714,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/138714,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,269250,269250.0,0.01,8,4056000.0,2.29,147000000.0,0.18316326530612245,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138714', 'risk_score': 7.7, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 269250.0, 'threshold_proximity_pct': 0.01, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.18, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.2305, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0152}, {'feature': 'threshold_proximity_pct', 'value': 0.01, 'contribution_to_risk': -0.0114}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 2.29, 'contribution_to_risk': 0.0084}]}",7.7
58451,58452,Tamil Nadu,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP393/2024-2025/144135,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),Shri Karti P Chidambaram,SIVAGANGA,2024-10-07,BALASHANMUGAM T,Payment Success,499315,499315.0,97.3,1,499315.0,97.3,159049284.11,0.3139372822669663,2024-10,3,"{'Work ID': 'WS/MP393/2024-2025/144135', 'risk_score': 63.3, 'risk_level': 'MEDIUM_RISK', 'is_anomaly': False, 'metrics': {'amount': 499315.0, 'threshold_proximity_pct': 97.3, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 97.3, 'budget_impact_pct': 0.31, 'ida_monthly_txns': 3}, 'raw_anomaly_score': 0.0033, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 97.3, 'contribution_to_risk': 0.1257}, {'feature': 'threshold_proximity_pct', 'value': 97.3, 'contribution_to_risk': 0.1034}, {'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0158}]}",63.3
58715,58716,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/138718,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,406500,406500.0,2.38,8,4056000.0,2.29,147000000.0,0.27653061224489794,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138718', 'risk_score': 12.3, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 406500.0, 'threshold_proximity_pct': 2.38, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.28, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.2118, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0174}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 2.29, 'contribution_to_risk': 0.008}, {'feature': 'vendor_payout_velocity', 'value': 8, 'contribution_to_risk': -0.0068}]}",12.3
58712,58713,Jharkhand,Providing drains and gutters for public drainage,WS/MP18074/2024-2025/138715,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,587250,587250.0,0.0,8,4056000.0,2.29,147000000.0,0.3994897959183673,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138715', 'risk_score': 16.8, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 587250.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.4, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.1931, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0177}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.3994897959183673, 'contribution_to_risk': 0.0132}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.0103}]}",16.8
58567,58568,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/136749,KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,ASSISTANT ENGINEER ZILA PARISHAD KHUNTI,Payment Success,400000,400000.0,1.83,1,400000.0,1.83,147000000.0,0.27210884353741494,2024-10,1,"{'Work ID': 'WS/MP18074/2024-2025/136749', 'risk_score': 11.1, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 400000.0, 'threshold_proximity_pct': 1.83, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 1.83, 'budget_impact_pct': 0.27, 'ida_monthly_txns': 1}, 'raw_anomaly_score': 0.2164, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0162}, {'feature': 'ida_monthly_txns', 'value': 1, 'contribution_to_risk': -0.0072}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 1.83, 'contribution_to_risk': 0.0062}]}",11.1
58710,58711,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/138717,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,486750,486750.0,58.86,8,4056000.0,2.29,147000000.0,0.33112244897959187,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138717', 'risk_score': 43.2, 'risk_level': 'MEDIUM_RISK', 'is_anomaly': False, 'metrics': {'amount': 486750.0, 'threshold_proximity_pct': 58.86, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.33, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.0854, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 58.86, 'contribution_to_risk': 0.1128}, {'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0157}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 2.29, 'contribution_to_risk': 0.0102}]}",43.2
58683,58684,Telangana,Construction of boundary walls of existing public and community buildings,WS/MP761/2024-2025/144940,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,2024-10-07,MOHAMMAD ZAHEED HUSSAIN,Payment Success,299998,299998.0,0.03,1,299998.0,0.03,281396355.11,0.10661047826391655,2024-10,17,"{'Work ID': 'WS/MP761/2024-2025/144940', 'risk_score': 1.5, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 299998.0, 'threshold_proximity_pct': 0.03, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 0.03, 'budget_impact_pct': 0.11, 'ida_monthly_txns': 17}, 'raw_anomaly_score': 0.2556, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 17, 'contribution_to_risk': -0.0147}, {'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.013}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.03, 'contribution_to_risk': -0.011}]}",1.5
58555,58556,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/142726,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-10-07,GRAM PANCHAYAT PASID,Payment Success,240000,240000.0,0.0,1,240000.0,0.0,150384382.11,0.1595910403943741,2024-10,6,"{'Work ID': 'WS/MP18278/2024-2025/142726', 'risk_score': 1.3, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 240000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.16, 'ida_monthly_txns': 6}, 'raw_anomaly_score': 0.2564, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0136}, {'feature': 'ida_monthly_txns', 'value': 6, 'contribution_to_risk': -0.0134}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.0118}]}",1.3
58711,58712,Jharkhand,Construction of buildings for community cultural activities,WS/MP18074/2024-2025/138716,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-10-07,Junior Engineer Zila Parishad Ranchi Sunny Choudhary,Payment Success,686250,686250.0,0.0,8,4056000.0,2.29,147000000.0,0.4668367346938775,2024-10,8,"{'Work ID': 'WS/MP18074/2024-2025/138716', 'risk_score': 19.9, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 686250.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 8, 'cumulative_vendor_spend_vs_threshold_pct': 2.29, 'budget_impact_pct': 0.47, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.1807, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.0183}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.4668367346938775, 'contribution_to_risk': 0.0182}, {'feature': 'expenditure_amount', 'value': 686250.0, 'contribution_to_risk': 0.0171}]}",19.9
